post_id,comment_text,comment_date,comment_user_id
166344,"Ну, и да… согласен, весеннее обострение никто не отменял🤷🏻‍♂️",2025-03-13 20:53:11+00:00,5347294766.0
166344,"Ага😂 сколько себя помню, этот движ существовал… в нулевых чтобы ты сел в метро и не увидел еблана, который залазит между вагонами - это сбой матрицы😂",2025-03-13 20:51:30+00:00,5347294766.0
166344,"""потерянное поколение, куда смотрят родители, стране пиздец""
ржууу 
типа в первые теплые дни  весны никто не будет чудить, особенно когда тебе 0 лет и ты пацан",2025-03-13 20:48:46+00:00,299196493.0
166344,Скажи😂 всю жизнь они были и тут стрельнули… как мемкоин😂,2025-03-13 20:47:13+00:00,5347294766.0
166344,"ахахах отэта вы возбудились с обычных зацеперов, ржу сильно очень)",2025-03-13 20:40:09+00:00,299196493.0
166344,"От єслі би автор комусь в сраку в'їхав під час з'йомкі, відео було би не таким скучьним)",2025-03-13 20:32:45+00:00,7505311182.0
166344,"Цікаво, вони колись закінчаться? 🤔",2025-03-13 20:32:18+00:00,294323419.0
166344,"О ужас, о ничего себе… малолетки в целях самоутверждения и доказательства своей псевдокрутости ездят на крышах электричек, поездов, сцепах вагонов и между вагонами… никогда такого не было, это прям какое-то новшество",2025-03-13 20:13:34+00:00,5347294766.0
166344,"Ще одні довбні 🤦
PS так не зрозуміло той вже всьо того, чі ще живий?! 🤷
PS 2 горе батькам, мало приділяють дітям часу на бесіду",2025-03-13 20:11:46+00:00,1426047854.0
166344,Ідіоти малолітні,2025-03-13 20:01:37+00:00,2069884523.0
166344,Природній відбір в дії.,2025-03-13 19:38:43+00:00,785148585.0
166344,Не для того мама квіточку ростила!,2025-03-13 19:37:08+00:00,414497967.0
166344,Покоління неляканих ідіотів 😁,2025-03-13 19:36:22+00:00,409876479.0
166344,добре що ці йобнуті не вкурсі про вартість лікування,2025-03-13 19:35:48+00:00,372993948.0
166344,"Називалося ""проїхались на ковбасі""",2025-03-13 19:28:11+00:00,456810505.0
166344,Памʼятаю в кінці 90х та на початку нульових в Одесі так постійно школярі катались:),2025-03-13 19:26:40+00:00,193855619.0
166344,Клоуны,2025-03-13 19:26:06+00:00,7094704148.0
166344,"Так таке було і 20 років назад і 10 років назад.
Абсолютно пофіг на них якщо зірвуться. Єдине що погано в такому випадку - затримка трамваїв поки тіла заберуть. А калікою стане, його проблеми, на пенсію інваліда буде жити ""довго та щасливо"".",2025-03-13 19:24:04+00:00,700665304.0
166344,Якщо мозгів немає то їх і не купиш,2025-03-13 19:22:54+00:00,8189119469.0
166344,Колись це називалось кататись на ковбасі😁😁,2025-03-13 19:18:33+00:00,1382444621.0
166344,Та нахєр такі довбоойби країні?,2025-03-13 19:11:19+00:00,345335248.0
166344,Все добре. Багато чого залежить від батьків в першу чергу😭👍Тихої ночі і гарного вечора,2025-03-13 19:10:34+00:00,1157782215.0
166344,Там після Revo  ніяких органів,2025-03-13 19:07:42+00:00,438830270.0
166344,Удачі  вам з орієнтуванням ціни по Люксембургу)),2025-03-13 19:07:28+00:00,383287911.0
166344,Я з отими лярвами шо в кожному пості перші коментують не одразу докумекав шо то було продовження вашого попереднього коментаря 😅,2025-03-13 19:06:22+00:00,414497967.0
166344,Донори органів,2025-03-13 19:06:00+00:00,1354081324.0
166344,Люксембург,2025-03-13 19:05:22+00:00,414497967.0
166344,А де дешевше?) десь між Грузією та турцією?)),2025-03-13 19:05:01+00:00,383287911.0
166344,Не найдешевше,2025-03-13 19:04:33+00:00,414497967.0
166344,Тронули мого персика маленького,2025-03-13 19:04:17+00:00,1157782215.0
166344,"6.50,найдешевше на континенті",2025-03-13 19:03:58+00:00,383287911.0
166344,Зробите зауваження.  То його батьки зроблять айяййяй,2025-03-13 19:03:53+00:00,1157782215.0
166344,Це ж всього лиш трамвай... Найбезобідніщий спосіб,2025-03-13 19:03:16+00:00,383287911.0
166344,Вони не виростуть..,2025-03-13 19:02:01+00:00,2057135990.0
166344,"Ой блять , пам'ятаю малими і з переду катались. А потім кондуктор бігав хотів пізди виписати 😁",2025-03-13 19:01:54+00:00,383764236.0
166344,... якщо не затягне під колеса...,2025-03-13 18:58:48+00:00,5760468387.0
166344,Хворі🤯😭,2025-03-13 18:57:28+00:00,5760468387.0
166344,Ну тут им ничего не будет),2025-03-13 18:56:52+00:00,5638839253.0
166344,..........,2025-03-13 18:56:09+00:00,6383713436.0
166344,Будете ви послані далеко і на довго і потім під старість років не по скаржишся,2025-03-13 18:54:39+00:00,5101198507.0
166344,"Це не лікується, на жаль.",2025-03-13 18:53:43+00:00,952064760.0
166344,Естественный отбор не останавливается,2025-03-13 18:53:40+00:00,623514978.0
166344,Так. Якщо дивитися на майбутнє держави. Бо що з них виросте те ви і отримаєте в старості!,2025-03-13 18:53:19+00:00,5101198507.0
166344,"Чем больше зацеперов, тем меньше зацеперов",2025-03-13 18:53:15+00:00,271153723.0
166344,І не кажи,2025-03-13 18:52:33+00:00,511329190.0
166344,"Ну піздєц, всьо тепер. Тупо найбільша біда в державі!!!",2025-03-13 18:51:05+00:00,539670319.0
166344,Це піздєц 🤦🏻‍♀️,2025-03-13 18:50:09+00:00,511329190.0
166344,На превеликий жаль це провал держави та батьків,2025-03-13 18:49:32+00:00,5101198507.0
166344,То з місцевого інтернату довбойобики на свободу вирвались... Таке там постійно,2025-03-13 18:49:30+00:00,64344846.0
166344,Ви вартість проїзду бачили???,2025-03-13 18:49:21+00:00,414497967.0
166344,Ну тут хоч нема 27 тищ вольт)  голову розібʼє але не підсмалить довбойоба,2025-03-13 18:48:23+00:00,929915491.0
166343,То набили чи ні?)))),2025-03-14 09:49:27+00:00,914100940.0
166343,А як правильно?,2025-03-14 07:30:08+00:00,791005100.0
166343,Тааак😂,2025-03-13 20:50:31+00:00,339673662.0
166343,Згоден. Треба бити в своїй полосі 🚘🚗 і кермом не крутити 😁,2025-03-13 20:49:49+00:00,7258941199.0
166343,"Мене завжди дивують водії які спочатку сигналять, потім крутять руль хуй знає куди, а лише потім на гальмо тиснуть🫠",2025-03-13 20:13:02+00:00,339673662.0
166343,Это оч важная инфа,2025-03-13 19:23:56+00:00,5081076747.0
166343,"Был бы там проездом то и не задумывался у кого какой знак, там все очевидно. На видео не местному может и не ясно сразу",2025-03-13 19:08:50+00:00,333712707.0
166343,"ну вот по картам смотрю, если там знак уступи при выезде тогда да, я думал, там знака нет (на видео не видно)
Вопрос нахрена они тогда повесили туда ""конец главной"" а потом за этим перекрестком еще ""отмена всех ограничений"")",2025-03-13 19:07:50+00:00,803219146.0
166343,Я напевно забув шо пішоходи піздують по дорозі на коло і їм світлофор вʼєбали з трьома кольорами,2025-03-13 19:03:23+00:00,434773659.0
166343,"Причем тут главная, если пирожек выехал со двора?",2025-03-13 19:02:18+00:00,333712707.0
166343,"та не хуйню, это светофор для пешеходов. Если бы он регулировал этот перекресток - он был бы и для выезда",2025-03-13 19:01:21+00:00,803219146.0
166343,"Хуйню ж написав, там же світлофор блять",2025-03-13 19:00:19+00:00,434773659.0
166343,а как у нас определяется главная дорога или не главная? пункт 1.10,2025-03-13 18:58:48+00:00,803219146.0
166343,Когда при выезде со двора стало необходимо уступать машинам?,2025-03-13 18:56:22+00:00,333712707.0
